,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,journalist_follower_count
222622640,dcbigjohn,"Stanton, John",BuzzFeed,Senior National Correspondent,M,42968,2944,61576,Fri Dec 03 23:26:47 +0000 2010,True,False,156.0,72.0,217.0,402.0,847.0,724
5336752,PeterHamby,"Hamby, Peter",Snapchat,Head of News,M,83110,6055,20031,Fri Apr 20 15:53:03 +0000 2007,True,False,60.0,63.0,36.0,210.0,369.0,722
4119741,jdickerson,"Dickerson, John",CBS News,"Moderator, Face the Nation",M,2176578,1719,20621,Wed Apr 11 03:51:01 +0000 2007,True,False,228.0,64.0,38.0,115.0,445.0,718
16125224,ByronTau,"Tau, Byron",Wall Street Journal / Dow Jones,Congress & Politics Reporter,M,39175,2605,57599,Thu Sep 04 04:34:23 +0000 2008,True,False,187.0,80.0,201.0,140.0,608.0,711
217550862,BresPolitico,"Bresnahan, John",Politico,Capitol Bureau Chief,M,40562,1910,48870,Fri Nov 19 21:01:30 +0000 2010,False,False,375.0,309.0,84.0,1739.0,2507.0,698
70511174,Hadas_Gold,"Gold, Hadas",Politico,Media Reporter,F,45221,1254,32595,Mon Aug 31 21:51:59 +0000 2009,True,False,492.0,175.0,122.0,778.0,1567.0,679
21307076,SusanPage,"Page, Susan",USA Today,Washington Bureau Chief,F,48675,1158,18176,Thu Feb 19 15:24:13 +0000 2009,True,False,97.0,192.0,50.0,135.0,474.0,670
12272322,PoliticsReid,"Wilson, Reid H.",The Hill,National Correspondent,M,45413,972,32741,Tue Jan 15 14:24:03 +0000 2008,False,False,422.0,52.0,18.0,47.0,539.0,670
71294756,wolfblitzer,"Blitzer, Wolf",CNN,"Anchor, CNN's The Situation Room",M,1281914,1134,9531,Thu Sep 03 16:29:04 +0000 2009,True,False,29.0,3.0,0.0,1.0,33.0,665
19186003,seungminkim,"Kim, Seung Min",Politico,Senate Reporter,F,33980,1311,35295,Mon Jan 19 15:07:21 +0000 2009,True,False,648.0,346.0,201.0,505.0,1700.0,664
232235048,PostBaron,"Baron, Martin",Washington Post,Executive Editor,M,53200,541,2120,Thu Dec 30 16:09:00 +0000 2010,True,False,6.0,0.0,0.0,0.0,6.0,663
24439201,jameshohmann,"Hohmann, James P.",Washington Post,National Political Correspondent,M,38708,3201,31426,Sat Mar 14 22:11:59 +0000 2009,True,False,255.0,95.0,42.0,859.0,1251.0,662
112526560,kenvogel,"Vogel, Kenneth P.",Politico,Chief Investigative Reporter,M,53894,1174,26303,Mon Feb 08 20:39:32 +0000 2010,True,False,222.0,66.0,163.0,90.0,541.0,657
16157855,edhenry,"Henry, Ed",Fox News,Chief National Correspondent,M,257443,7388,27530,Sat Sep 06 16:00:37 +0000 2008,True,False,148.0,137.0,6.0,141.0,432.0,656
15731368,HowardKurtz,"Kurtz, Howard",Fox News,"Host, Media Buzz",M,172634,219,19168,Tue Aug 05 02:49:06 +0000 2008,True,False,274.0,6.0,10.0,7.0,297.0,643
92079350,mmurraypolitics,"Murray, Mark",NBC News,Senior Political Editor,M,81791,413,41930,Mon Nov 23 18:21:54 +0000 2009,True,False,210.0,160.0,102.0,1456.0,1928.0,642
45399148,jeneps,"Epstein, Jennifer",Bloomberg News,Political Reporter,F,61242,1519,40082,Sun Jun 07 19:02:54 +0000 2009,True,False,385.0,111.0,241.0,68.0,805.0,631
224320485,KellyO,"O’Donnell, Kelly",NBC News,Political Reporter,F,148476,1899,19654,Wed Dec 08 18:09:52 +0000 2010,True,False,522.0,85.0,7.0,28.0,642.0,630
18963809,moody,"Moody, Christopher",CNN,Senior Digital Reporter,M,34583,7657,28581,Wed Jan 14 02:29:32 +0000 2009,True,False,21.0,2.0,14.0,10.0,47.0,628
140286364,nielslesniewski,"Lesniewski, Niels P.",CQ Roll Call,Senior Senate Reporter,M,24670,2420,70213,Wed May 05 03:22:19 +0000 2010,False,False,559.0,300.0,94.0,457.0,1410.0,628
19914257,mviser,"Viser, Matthew",Boston Globe,Deputy Washington Bureau Chief,M,57700,1805,25358,Mon Feb 02 16:20:23 +0000 2009,True,False,511.0,78.0,19.0,186.0,794.0,625
14552725,shearm,"Shear, Michael",New York Times,White House Correspondent,M,43333,1155,3599,Sat Apr 26 23:01:43 +0000 2008,True,False,61.0,12.0,6.0,9.0,88.0,625
14007532,frankthorp,"Thorp, Frank",NBC News,Producer / Off-air Reporter,M,39798,1539,23859,Tue Feb 26 15:31:46 +0000 2008,True,False,393.0,150.0,320.0,58.0,921.0,625
21612122,HotlineJosh,"Kraushaar, Josh P.",National Journal,Politics Editor,M,50438,1496,156610,Sun Feb 22 23:45:46 +0000 2009,True,False,545.0,893.0,384.0,4881.0,6703.0,624
104914594,Phil_Mattingly,"Mattingly, Phil",CNN,Congressional Correspondent,M,40119,1565,37122,Thu Jan 14 19:59:21 +0000 2010,True,False,686.0,242.0,165.0,698.0,1791.0,613
64916983,joshgerstein,"Gerstein, Joshua A.",Politico,White House Reporter,M,26974,1515,30890,Wed Aug 12 03:04:18 +0000 2009,False,False,259.0,295.0,262.0,364.0,1180.0,613
398088661,MEPFuller,"Fuller, Matt E.",Huffington Post,Congressional Reporter,M,77919,3740,42368,Tue Oct 25 15:20:25 +0000 2011,True,False,679.0,226.0,710.0,488.0,2103.0,612
16072058,mikememoli,"Memoli, Michael",Los Angeles Times,Reporter,M,31988,1889,46818,Sun Aug 31 22:50:48 +0000 2008,True,False,309.0,122.0,78.0,369.0,878.0,612
20776497,BFischerMartin,"Fischer Martin, Betsy",Bloomberg News,"Co-host, Masters in Politics Podcast",F,50890,3921,13106,Fri Feb 13 15:11:11 +0000 2009,True,False,12.0,11.0,0.0,76.0,99.0,609
